,Abbrev,Long,Category
431,VE1_H2,coefficient sum of the last eigenvector (absolute values) from reciprocal squared distance matrix, 2D matrix-based descriptors
432,VE2_H2,average coefficient of the last eigenvector (absolute values) from reciprocal squared distance matrix, 2D matrix-based descriptors
433,VE3_H2,logarithmic coefficient sum of the last eigenvector (absolute values) from reciprocal squared distance matrix, 2D matrix-based descriptors
434,VE1sign_H2,coefficient sum of the last eigenvector from reciprocal squared distance matrix, 2D matrix-based descriptors
435,VE2sign_H2,average coefficient of the last eigenvector from reciprocal squared distance matrix, 2D matrix-based descriptors
436,VE3sign_H2,logarithmic coefficient sum of the last eigenvector from reciprocal squared distance matrix, 2D matrix-based descriptors
437,VR1_H2,Randic-like eigenvector-based index from reciprocal squared distance matrix, 2D matrix-based descriptors
438,VR2_H2,normalized Randic-like eigenvector-based index from reciprocal squared distance matrix, 2D matrix-based descriptors
439,VR3_H2,logarithmic Randic-like eigenvector-based index from reciprocal squared distance matrix, 2D matrix-based descriptors
440,Wi_Dt,Wiener-like index from detour matrix (detour index), 2D matrix-based descriptors
441,WiA_Dt,average Wiener-like index from detour matrix, 2D matrix-based descriptors
442,AVS_Dt,average vertex sum from detour matrix, 2D matrix-based descriptors
443,H_Dt,Harary-like index from detour matrix, 2D matrix-based descriptors
444,Chi_Dt,Randic-like index from detour matrix, 2D matrix-based descriptors
445,ChiA_Dt,average Randic-like index from detour matrix, 2D matrix-based descriptors
446,J_Dt,Balaban-like index from detour matrix, 2D matrix-based descriptors
447,HyWi_Dt,hyper-Wiener-like index (log function) from detour matrix, 2D matrix-based descriptors
448,SpPos_Dt,spectral positive sum from detour matrix, 2D matrix-based descriptors
449,SpPosA_Dt,normalized spectral positive sum from detour matrix, 2D matrix-based descriptors
450,SpPosLog_Dt,logarithmic spectral positive sum from detour matrix, 2D matrix-based descriptors
451,SpMax_Dt,leading eigenvalue from detour matrix, 2D matrix-based descriptors
452,SpMaxA_Dt,normalized leading eigenvalue from detour matrix, 2D matrix-based descriptors
453,SpDiam_Dt,spectral diameter from detour matrix, 2D matrix-based descriptors
454,SpAD_Dt,spectral absolute deviation from detour matrix, 2D matrix-based descriptors
455,SpMAD_Dt,spectral mean absolute deviation from detour matrix, 2D matrix-based descriptors
456,Ho_Dt,Hosoya-like index (log function) from detour matrix, 2D matrix-based descriptors
457,EE_Dt,Estrada-like index (log function) from detour matrix, 2D matrix-based descriptors
458,SM2_Dt,spectral moment of order 2 from detour matrix, 2D matrix-based descriptors
459,SM3_Dt,spectral moment of order 3 from detour matrix, 2D matrix-based descriptors
460,SM4_Dt,spectral moment of order 4 from detour matrix, 2D matrix-based descriptors
461,SM5_Dt,spectral moment of order 5 from detour matrix, 2D matrix-based descriptors
462,SM6_Dt,spectral moment of order 6 from detour matrix, 2D matrix-based descriptors
463,VE1_Dt,coefficient sum of the last eigenvector (absolute values) from detour matrix, 2D matrix-based descriptors
464,VE2_Dt,average coefficient of the last eigenvector (absolute values) from detour matrix, 2D matrix-based descriptors
465,VE3_Dt,logarithmic coefficient sum of the last eigenvector (absolute values) from detour matrix, 2D matrix-based descriptors
466,VE1sign_Dt,coefficient sum of the last eigenvector from detour matrix, 2D matrix-based descriptors
467,VE2sign_Dt,average coefficient of the last eigenvector from detour matrix, 2D matrix-based descriptors
468,VE3sign_Dt,logarithmic coefficient sum of the last eigenvector from detour matrix, 2D matrix-based descriptors
469,VR1_Dt,Randic-like eigenvector-based index from detour matrix, 2D matrix-based descriptors
470,VR2_Dt,normalized Randic-like eigenvector-based index from detour matrix, 2D matrix-based descriptors
471,VR3_Dt,logarithmic Randic-like eigenvector-based index from detour matrix, 2D matrix-based descriptors
472,Wi_D/Dt,Wiener-like index from distance/detour matrix, 2D matrix-based descriptors
473,WiA_D/Dt,average Wiener-like index from distance/detour matrix, 2D matrix-based descriptors
474,AVS_D/Dt,average vertex sum from distance/detour matrix, 2D matrix-based descriptors
475,H_D/Dt,Harary-like index from distance/detour matrix, 2D matrix-based descriptors
476,Chi_D/Dt,Randic-like index from distance/detour matrix, 2D matrix-based descriptors
477,ChiA_D/Dt,average Randic-like index from distance/detour matrix, 2D matrix-based descriptors
478,J_D/Dt,Balaban-like index from distance/detour matrix, 2D matrix-based descriptors
479,HyWi_D/Dt,hyper-Wiener-like index (log function) from distance/detour matrix, 2D matrix-based descriptors
480,SpPos_D/Dt,spectral positive sum from distance/detour matrix, 2D matrix-based descriptors
481,SpPosA_D/Dt,normalized spectral positive sum from distance/detour matrix, 2D matrix-based descriptors
482,SpPosLog_D/Dt,logarithmic spectral positive sum from distance/detour matrix, 2D matrix-based descriptors
483,SpMax_D/Dt,leading eigenvalue from distance/detour matrix, 2D matrix-based descriptors
484,SpMaxA_D/Dt,normalized leading eigenvalue from distance/detour matrix, 2D matrix-based descriptors
485,SpDiam_D/Dt,spectral diameter from distance/detour matrix, 2D matrix-based descriptors
486,SpAD_D/Dt,spectral absolute deviation from distance/detour matrix, 2D matrix-based descriptors
487,SpMAD_D/Dt,spectral mean absolute deviation from distance/detour matrix, 2D matrix-based descriptors
488,Ho_D/Dt,Hosoya-like index (log function) from distance/detour matrix, 2D matrix-based descriptors
489,EE_D/Dt,Estrada-like index (log function) from distance/detour matrix, 2D matrix-based descriptors
490,SM2_D/Dt,spectral moment of order 2 from distance/detour matrix, 2D matrix-based descriptors
491,SM3_D/Dt,spectral moment of order 3 from distance/detour matrix, 2D matrix-based descriptors
492,SM4_D/Dt,spectral moment of order 4 from distance/detour matrix, 2D matrix-based descriptors
493,SM5_D/Dt,spectral moment of order 5 from distance/detour matrix, 2D matrix-based descriptors
494,SM6_D/Dt,spectral moment of order 6 from distance/detour matrix, 2D matrix-based descriptors
495,VE1_D/Dt,coefficient sum of the last eigenvector (absolute values) from distance/detour matrix, 2D matrix-based descriptors
496,VE2_D/Dt,average coefficient of the last eigenvector (absolute values) from distance/detour matrix, 2D matrix-based descriptors
497,VE3_D/Dt,logarithmic coefficient sum of the last eigenvector (absolute values) from distance/detour matrix, 2D matrix-based descriptors
498,VE1sign_D/Dt,coefficient sum of the last eigenvector from distance/detour matrix, 2D matrix-based descriptors
499,VE2sign_D/Dt,average coefficient of the last eigenvector from distance/detour matrix, 2D matrix-based descriptors
500,VE3sign_D/Dt,logarithmic coefficient sum of the last eigenvector from distance/detour matrix, 2D matrix-based descriptors
501,VR1_D/Dt,Randic-like eigenvector-based index from distance/detour matrix, 2D matrix-based descriptors
502,VR2_D/Dt,normalized Randic-like eigenvector-based index from distance/detour matrix, 2D matrix-based descriptors
503,VR3_D/Dt,logarithmic Randic-like eigenvector-based index from distance/detour matrix, 2D matrix-based descriptors
504,Wi_Dz(Z),Wiener-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
505,WiA_Dz(Z),average Wiener-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
506,AVS_Dz(Z),average vertex sum from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
507,H_Dz(Z),Harary-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
508,Chi_Dz(Z),Randic-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
509,ChiA_Dz(Z),average Randic-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
510,J_Dz(Z),Balaban-like index from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
511,HyWi_Dz(Z),hyper-Wiener-like index (log function) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
512,SpAbs_Dz(Z),graph energy from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
513,SpPos_Dz(Z),spectral positive sum from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
514,SpPosA_Dz(Z),normalized spectral positive sum from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
515,SpPosLog_Dz(Z),logarithmic spectral positive sum from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
516,SpMax_Dz(Z),leading eigenvalue from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
517,SpMaxA_Dz(Z),normalized leading eigenvalue from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
518,SpDiam_Dz(Z),spectral diameter from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
519,SpAD_Dz(Z),spectral absolute deviation from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
520,SpMAD_Dz(Z),spectral mean absolute deviation from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
521,Ho_Dz(Z),Hosoya-like index (log function) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
522,EE_Dz(Z),Estrada-like index (log function) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
523,SM1_Dz(Z),spectral moment of order 1 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
524,SM2_Dz(Z),spectral moment of order 2 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
525,SM3_Dz(Z),spectral moment of order 3 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
526,SM4_Dz(Z),spectral moment of order 4 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
527,SM5_Dz(Z),spectral moment of order 5 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
528,SM6_Dz(Z),spectral moment of order 6 from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
529,VE1_Dz(Z),coefficient sum of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
530,VE2_Dz(Z),average coefficient of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
531,VE3_Dz(Z),logarithmic coefficient sum of the last eigenvector (absolute values) from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
532,VE1sign_Dz(Z),coefficient sum of the last eigenvector from Barysz matrix weighted by atomic number, 2D matrix-based descriptors
